fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,total_sulfur_dioxide,density,ph,sulphates,alcohol,quality,color
5.7,0.4,0.35,5.1,0.026000000000000002,113.0,0.9905200000000001,3.18,0.67,12.4,6,1
6.6,0.34,0.27,6.2,0.059000000000000004,136.0,0.9957,3.3,0.49,10.1,6,1
8.1,0.33,0.36,7.4,0.037000000000000005,156.0,0.99592,3.19,0.54,10.6,6,1
6.1,0.16,0.37,1.1,0.031,97.0,0.9922,3.4,0.58,10.5,6,1
6.9,0.4,0.24,2.5,0.083,45.0,0.9959,3.26,0.58,10.0,5,0
8.2,0.15,0.48,2.7,0.052000000000000005,190.0,0.995,3.5,0.45,10.9,7,1
8.7,0.29,0.52,1.6,0.113,37.0,0.9969,3.25,0.58,9.5,5,0
7.2,0.26,0.74,13.6,0.05,162.0,0.998,3.03,0.44,8.8,5,1
7.4,0.23,0.43,1.4,0.044000000000000004,113.0,0.9938,3.22,0.62,10.6,6,1
8.2,0.28,0.6,3.0,0.10400000000000001,22.0,0.99828,3.39,0.68,10.6,5,0
5.0,0.4,0.5,4.3,0.046,80.0,0.9902,3.49,0.66,13.6,6,0
7.0,0.27,0.29,3.9,0.059000000000000004,199.0,0.9961,3.54,0.59,10.3,5,1
8.6,0.83,0.0,2.8,0.095,43.0,0.9982200000000001,3.33,0.6,10.4,6,0
7.1,0.39,0.35,12.5,0.044000000000000004,72.0,0.9941,3.17,0.29,11.6,5,1
7.3,0.735,0.0,2.2,0.08,28.0,0.99765,3.41,0.6,9.4,5,0
6.0,0.43,0.34,7.6,0.045,118.0,0.9922200000000001,3.03,0.37,11.0,6,1
5.9,0.34,0.22,2.4,0.03,135.0,0.9894,3.41,0.78,13.9,7,1
6.0,0.2,0.26,6.8,0.049,93.0,0.9928,3.15,0.42,11.0,6,1
5.6,0.33,0.28,1.2,0.031,97.0,0.99126,3.49,0.58,10.9,6,1
8.1,0.56,0.28,1.7,0.368,56.0,0.9968,3.11,1.28,9.3,5,0
7.2,0.695,0.13,2.0,0.076,20.0,0.99546,3.29,0.54,10.1,5,0
7.8,0.43,0.49,13.0,0.033,158.0,0.9955,3.14,0.35,11.3,6,1
7.4,0.5,0.47,2.0,0.086,73.0,0.997,3.36,0.57,9.1,5,0
7.8,0.34,0.37,2.0,0.08199999999999999,58.0,0.9964,3.34,0.59,9.4,6,0
6.8,0.22,0.49,0.9,0.052000000000000005,128.0,0.991,3.25,0.35,11.4,6,1
6.9,0.24,0.33,1.7,0.035,136.0,0.99,3.26,0.4,12.6,7,1
7.5,0.24,0.49,9.4,0.048,149.0,0.9962,3.17,0.59,10.5,7,1
6.4,0.39,0.33,3.3,0.046,53.0,0.9929399999999999,3.36,0.62,12.2,6,0
7.2,0.415,0.36,2.0,0.081,45.0,0.9972,3.48,0.64,9.2,5,0
7.1,0.38,0.4,2.2,0.042,201.0,0.99177,3.03,0.5,11.4,5,1
7.6,0.5,0.29,2.3,0.086,14.0,0.9950200000000001,3.32,0.62,11.5,6,0
6.0,0.2,0.26,6.8,0.049,93.0,0.9928,3.15,0.42,11.0,6,1
6.4,0.45,0.07,1.1,0.03,131.0,0.9905,2.97,0.28,10.8,5,1
7.6,0.29,0.42,1.3,0.035,86.0,0.9908,2.99,0.39,11.3,5,1
6.8,0.27,0.37,8.2,0.055,192.0,0.9958600000000001,3.11,0.52,9.5,6,1
6.9,0.58,0.58,8.2,0.032,169.0,0.99275,3.28,0.44,12.2,6,1
6.1,0.34,0.31,12.0,0.053,238.0,0.9977,3.16,0.48,8.6,5,1
5.5,0.16,0.22,4.5,0.03,102.0,0.9938,3.24,0.36,9.4,6,1
8.7,0.52,0.09,2.5,0.091,49.0,0.9976,3.34,0.86,10.6,7,0
8.9,0.21,0.37,1.2,0.027999999999999997,93.0,0.99244,3.2,0.37,11.5,5,1
6.3,0.27,0.25,5.8,0.038,155.0,0.995,3.28,0.38,9.4,6,1
9.3,0.2,0.33,1.7,0.05,178.0,0.9954,3.16,0.43,9.0,4,1
8.2,0.18,0.38,1.1,0.04,92.0,0.9906200000000001,2.88,0.6,12.0,6,1
6.3,0.15,0.3,1.4,0.022000000000000002,100.0,0.9909899999999999,3.42,0.57,11.4,7,1
6.9,0.615,0.42,12.0,0.067,131.0,0.9972700000000001,3.19,0.34,9.3,5,1
5.8,0.2,0.3,1.5,0.031,57.0,0.99115,3.44,0.55,11.0,6,1
6.9,0.19,0.49,6.6,0.036000000000000004,172.0,0.9932,3.2,0.27,11.5,6,1
9.3,0.31,0.49,1.3,0.042,147.0,0.9948,3.11,0.46,9.8,5,1
7.3,0.28,0.35,1.6,0.054000000000000006,148.0,0.9917799999999999,3.18,0.47,10.7,5,1
7.5,0.18,0.45,4.6,0.040999999999999995,158.0,0.9927,3.01,0.38,10.6,6,1
6.4,0.18,0.48,18.0,0.054000000000000006,183.0,1.0003799999999998,2.98,0.61,8.5,6,1
6.7,0.12,0.36,2.3,0.039,125.0,0.99229,3.07,0.67,10.1,7,1
6.0,0.28,0.52,5.0,0.078,139.0,0.9949399999999999,3.1,0.36,9.0,6,1
7.4,0.35,0.24,6.0,0.042,123.0,0.9930399999999999,3.14,0.44,11.3,5,1
7.0,0.65,0.02,2.1,0.066,25.0,0.9972,3.47,0.67,9.5,6,0
6.3,0.47,0.0,1.4,0.055,33.0,0.9922,3.45,0.48,12.3,6,0
6.9,0.19,0.31,19.25,0.043,167.0,0.99954,2.93,0.52,9.1,7,1
6.5,0.26,0.24,10.8,0.042,130.0,0.996,3.08,0.4,10.1,6,1
7.5,0.35,0.37,2.5,0.066,89.0,0.98964,3.14,0.42,12.7,6,1
5.9,0.12,0.28,1.4,0.037000000000000005,83.0,0.99074,3.33,0.42,10.9,7,1
6.4,0.37,0.2,5.6,0.11699999999999999,183.0,0.99459,3.24,0.43,9.5,5,1
8.8,0.27,0.46,2.1,0.095,29.0,0.9948799999999999,3.26,0.56,11.3,6,0
6.5,0.28,0.29,2.7,0.038,107.0,0.9912,3.32,0.41,11.6,7,1
7.7,0.275,0.3,1.0,0.039,75.0,0.992,3.01,0.56,10.7,5,1
6.6,0.085,0.33,1.4,0.036000000000000004,109.0,0.99306,3.27,0.61,9.5,6,1
7.8,0.55,0.35,2.2,0.07400000000000001,66.0,0.9974,3.25,0.56,9.2,5,0
7.0,0.24,0.3,12.3,0.035,172.0,0.9954,2.99,0.57,10.4,6,1
7.4,0.29,0.5,1.8,0.042,127.0,0.9937,3.45,0.5,10.2,7,1
7.3,0.3,0.25,2.5,0.045,122.0,0.99329,3.18,0.54,10.3,5,1
9.2,0.46,0.23,2.6,0.091,77.0,0.9992200000000001,3.15,0.51,9.4,5,0
6.5,0.2,0.35,3.9,0.04,140.0,0.9910200000000001,2.98,0.53,11.8,6,1
6.8,0.24,0.34,2.7,0.047,218.5,0.9934,3.3,0.58,9.7,6,1
7.4,0.22,0.33,2.0,0.045,101.0,0.9931,3.42,0.55,11.4,5,1
6.0,0.26,0.15,1.3,0.06,154.0,0.99354,3.14,0.51,8.7,5,1
5.6,0.26,0.0,10.2,0.038,111.0,0.99315,3.44,0.46,12.4,6,1
9.1,0.52,0.33,1.3,0.07,30.0,0.9978,3.24,0.6,9.3,5,0
6.7,0.16,0.34,1.6,0.026000000000000002,109.0,0.9934,3.34,0.58,10.1,6,1
7.6,0.39,0.46,11.7,0.084,170.0,0.9977299999999999,2.91,0.51,9.0,5,1
7.3,0.24,0.3,2.5,0.042,104.0,0.9911,3.05,0.56,11.3,7,1
7.0,0.23,0.26,7.2,0.040999999999999995,90.0,0.9950899999999999,3.22,0.55,9.5,6,1
5.9,0.2,0.28,1.0,0.043,100.0,0.9903299999999999,3.4,0.41,11.4,6,1
6.4,0.18,0.35,1.0,0.045,108.0,0.9911,3.31,0.35,10.9,6,1
6.1,0.37,0.2,7.6,0.031,170.0,0.9955799999999999,3.22,0.48,9.5,5,1
5.2,0.44,0.04,1.4,0.036000000000000004,119.0,0.9894,3.36,0.33,12.1,8,1
6.7,0.19,0.32,3.7,0.040999999999999995,76.0,0.9917299999999999,2.9,0.57,10.5,7,1
15.6,0.645,0.49,4.2,0.095,23.0,1.00315,2.92,0.74,11.1,5,0
7.0,0.24,0.32,1.3,0.037000000000000005,123.0,0.992,3.17,0.42,11.2,8,1
6.1,0.25,0.48,15.8,0.052000000000000005,94.0,0.99782,3.07,0.45,9.2,6,1
6.2,0.17,0.28,4.7,0.037000000000000005,133.0,0.9931,3.41,0.46,10.8,7,1
10.3,0.43,0.44,2.4,0.214,12.0,0.9994,3.19,0.63,9.5,6,0
6.5,0.14,0.33,7.6,0.05,189.0,0.9966,3.25,0.49,8.6,5,1
7.1,0.37,0.32,1.4,0.037000000000000005,126.0,0.9918,3.19,0.62,12.0,5,1
6.5,0.35,0.38,7.4,0.036000000000000004,196.0,0.9971200000000001,3.47,0.48,9.1,6,1
10.8,0.29,0.42,1.6,0.084,27.0,0.99545,3.28,0.73,11.9,6,0
6.2,0.22,0.3,12.4,0.054000000000000006,152.0,0.9972799999999999,3.1,0.47,9.5,6,1
7.0,0.21,0.22,5.1,0.048,168.0,0.9945,3.34,0.49,10.4,6,1
5.0,0.27,0.32,4.5,0.032,178.0,0.98956,3.45,0.31,12.6,7,1
9.9,0.35,0.55,2.1,0.062,14.0,0.9971,3.26,0.79,10.6,5,0
7.2,0.32,0.24,5.6,0.033,120.0,0.99334,2.92,0.66,10.3,7,1
7.0,0.28,0.28,1.4,0.039,83.0,0.9917299999999999,3.18,0.65,11.1,5,1
6.8,0.17,0.17,5.1,0.049,82.0,0.993,3.0,0.38,9.8,6,1
6.4,0.32,0.23,16.2,0.055,176.0,0.9986,3.26,0.54,9.1,5,1
6.5,0.22,0.72,6.8,0.042,168.0,0.9958,3.12,0.36,9.2,6,1
6.4,0.42,0.74,12.8,0.076,209.0,0.9978,3.12,0.58,9.0,6,1
7.1,0.21,0.32,2.2,0.037000000000000005,141.0,0.993,3.2,0.57,10.0,7,1
6.7,0.31,0.18,7.7,0.043,200.0,0.99566,3.17,0.44,9.4,6,1
7.1,0.3,0.46,1.5,0.066,133.0,0.9906,3.12,0.54,12.7,6,1
5.3,0.58,0.07,6.9,0.043,149.0,0.9944,3.34,0.57,9.7,5,1
5.5,0.16,0.31,1.2,0.026000000000000002,68.0,0.9898,3.33,0.44,11.6333333333333,6,1
6.7,0.48,0.32,1.4,0.021,121.0,0.9889,3.15,0.53,12.7,7,1
6.5,0.28,0.34,9.9,0.038,133.0,0.9954,3.11,0.44,9.8,5,1
6.8,0.32,0.39,9.6,0.026000000000000002,124.0,0.9928600000000001,3.18,0.35,12.1,6,1
7.4,0.74,0.07,1.7,0.086,48.0,0.9950200000000001,3.12,0.48,10.0,5,0
9.4,0.43,0.24,2.8,0.092,45.0,0.998,3.19,0.73,10.0,6,0
7.0,0.2,0.34,5.7,0.035,83.0,0.9928,3.19,0.46,11.5,6,1
6.4,0.25,0.41,8.6,0.042,173.0,0.9965,3.0,0.44,9.1,5,1
7.1,0.18,0.49,1.3,0.033,72.0,0.99072,3.05,0.53,11.3,7,1
6.9,0.34,0.74,11.2,0.069,150.0,0.9968,3.0,0.81,9.2,5,1
7.3,0.24,0.34,15.4,0.05,174.0,0.9983,3.03,0.42,9.0,6,1
10.6,0.36,0.59,2.2,0.152,18.0,0.9986,3.04,1.05,9.4,5,0
5.8,0.28,0.3,1.5,0.026000000000000002,114.0,0.9895200000000001,3.32,0.6,12.5,7,1
5.4,0.185,0.19,7.1,0.048,110.0,0.9943799999999999,3.26,0.41,9.5,6,1
6.2,0.25,0.28,8.5,0.035,108.0,0.9948600000000001,3.4,0.42,10.4,6,1
9.2,0.28,0.46,3.2,0.057999999999999996,133.0,0.996,3.14,0.58,9.5,5,1
6.5,0.51,0.25,1.7,0.048,177.0,0.9921200000000001,3.28,0.57,10.5666666666667,5,1
7.3,0.155,0.49,1.3,0.039,136.0,0.9926,3.14,0.77,10.5,6,1
6.9,0.38,0.25,9.8,0.04,191.0,0.9971,3.28,0.61,9.2,5,1
7.2,0.23,0.39,14.2,0.057999999999999996,192.0,0.9979,2.98,0.48,9.0,7,1
7.0,0.3,0.27,1.5,0.076,145.0,0.99344,3.1,0.52,10.1,5,1
8.1,0.22,0.43,1.5,0.044000000000000004,129.0,0.9938,3.22,0.45,11.0,6,1
6.7,0.31,0.32,14.5,0.038,79.0,0.9941200000000001,3.14,0.34,12.5,5,1
7.7,0.34,0.28,11.0,0.04,117.0,0.99815,3.27,0.29,9.2,6,1
6.9,0.24,0.4,15.4,0.052000000000000005,198.0,0.9986,3.2,0.69,9.4,5,1
7.7,0.96,0.2,2.0,0.047,60.0,0.9955,3.36,0.44,10.9,5,0
7.5,0.19,0.4,7.1,0.055999999999999994,110.0,0.9954,3.06,0.52,9.9,6,1
7.0,0.3,0.51,13.6,0.05,168.0,0.9976,3.07,0.52,9.6,7,1
11.2,0.28,0.56,1.9,0.075,60.0,0.998,3.16,0.58,9.8,6,0
10.7,0.22,0.56,8.2,0.044000000000000004,181.0,0.998,2.87,0.68,9.5,6,1
10.3,0.53,0.48,2.5,0.063,25.0,0.9998,3.12,0.59,9.3,6,0
8.9,0.4,0.32,5.6,0.087,47.0,0.9991,3.38,0.77,10.5,7,0
6.2,0.23,0.36,17.2,0.039,130.0,0.99946,3.23,0.43,8.8,6,1
6.4,0.17,0.3,2.8,0.034,125.0,0.9915200000000001,3.03,0.49,10.4,6,1
6.5,0.35,0.28,12.4,0.051,213.0,0.9962,3.16,0.51,9.9,6,1
5.7,0.22,0.2,16.0,0.044000000000000004,113.0,0.9986200000000001,3.22,0.46,8.9,6,1
7.8,0.59,0.33,2.0,0.07400000000000001,120.0,0.9968,3.25,0.54,9.4,5,0
12.3,0.5,0.49,2.2,0.08900000000000001,14.0,1.0002,3.19,0.44,9.6,5,0
6.4,0.24,0.23,2.0,0.046,133.0,0.9908,3.12,0.54,11.4,7,1
6.6,0.26,0.29,1.4,0.039,67.0,0.9915,3.05,0.49,10.9,6,1
8.6,0.55,0.09,3.3,0.068,17.0,0.99735,3.23,0.44,10.0,5,0
6.9,0.48,0.2,1.9,0.08199999999999999,23.0,0.99585,3.39,0.43,9.05,4,0
6.0,0.17,0.29,5.0,0.027999999999999997,108.0,0.9907600000000001,3.14,0.34,12.3,6,1
7.0,0.35,0.24,1.9,0.04,144.0,0.9923,3.35,0.38,11.0,5,1
8.2,0.31,0.4,2.2,0.057999999999999996,10.0,0.99536,3.31,0.68,11.2,7,0
6.6,0.7,0.08,2.6,0.106,27.0,0.99665,3.44,0.58,10.2,5,0
6.5,0.23,0.39,1.9,0.036000000000000004,98.0,0.99,3.19,0.43,11.9,7,1
6.3,0.3,0.28,5.0,0.042,168.0,0.99505,3.22,0.69,9.5,6,1
6.6,0.24,0.27,10.3,0.047,219.0,0.9974200000000001,3.04,0.45,8.8,5,1
6.2,0.36,0.32,4.0,0.036000000000000004,92.0,0.98936,3.2,0.5,13.3,7,1
6.0,0.45,0.42,1.1,0.051,197.0,0.9932,3.02,0.4,9.0,5,1
7.2,0.2,0.22,1.6,0.044000000000000004,101.0,0.99471,3.37,0.53,10.0,5,1
6.8,0.32,0.28,4.8,0.034,100.0,0.99026,3.08,0.47,12.4,7,1
5.5,0.19,0.27,0.9,0.04,103.0,0.99026,3.5,0.39,11.2,5,1
7.8,0.53,0.04,1.7,0.076,31.0,0.9964,3.33,0.56,10.0,6,0
8.9,0.34,0.34,1.6,0.055999999999999994,176.0,0.9946,3.14,0.47,9.7,5,1
9.9,0.5,0.5,13.8,0.205,82.0,1.00242,3.16,0.75,8.8,5,0
5.8,0.13,0.26,5.1,0.039,103.0,0.9947799999999999,3.36,0.47,9.3,6,1
7.1,0.32,0.34,14.5,0.039,150.0,0.995,3.38,0.5,12.5,8,1
6.1,0.24,0.32,9.0,0.031,134.0,0.99234,3.25,0.26,12.3,7,1
6.8,0.3,0.24,6.6,0.12300000000000001,116.0,0.9953,3.07,0.48,9.4,5,1
6.7,0.46,0.21,4.0,0.034,88.0,0.99016,3.26,0.54,13.0,6,1
7.5,0.5,0.36,6.1,0.071,102.0,0.9978,3.35,0.8,10.5,5,0
9.1,0.33,0.38,1.7,0.062,344.0,0.9958,3.1,0.7,9.5,5,1
